x,y,z,r,curvature,torsion
67.349,91.406,0.56329,0,0,0
67.378,91.373,0.82613,3.1167,0.011498,2.51E-13
67.406,91.341,1.089,3.0491,0.023018,-4.67E-14
67.434,91.311,1.352,2.9874,0.034577,8.00E-14
67.46,91.282,1.615,3.0361,0.046189,-1.85E-14
67.486,91.257,1.8783,3.0703,0.057855,4.55E-17
67.51,91.236,2.1417,3.0827,0.069565,-3.43E-15
67.533,91.219,2.4053,3.0705,0.081291,2.84E-15
67.554,91.208,2.6693,3.0707,0.092986,3.83E-15
67.572,91.202,2.9335,3.028,0.10458,1.54E-15
67.588,91.204,3.1981,3.0229,0.11597,-0.11427
67.601,91.213,3.4632,3.0226,0.098948,-0.15457
67.611,91.228,3.729,2.987,0.082476,-0.21647
67.619,91.249,3.996,3.0081,0.067255,-0.31368
67.625,91.273,4.2646,2.9269,0.054316,-0.45972
67.629,91.301,4.5352,2.982,0.045281,-0.62808
67.631,91.33,4.8081,2.9572,0.042092,-0.68612
67.632,91.359,5.0838,3.0396,0.045284,-0.55658
67.631,91.388,5.3626,3.0543,0.053068,-0.37853
67.629,91.415,5.645,3.0892,0.063186,-0.24803
67.626,91.438,5.9313,3.0471,0.074158,0.15802
67.623,91.458,6.2217,3.0486,0.060252,0.22184
67.618,91.474,6.5157,3.0647,0.047668,0.33305
67.612,91.487,6.8126,3.1079,0.036599,0.53839
67.604,91.498,7.1115,3.2131,0.027789,0.9025
67.595,91.508,7.4118,3.1857,0.023072,1.283
67.584,91.518,7.7128,3.1916,0.024507,1.1301
67.571,91.527,8.0136,3.1844,0.031225,0.70133
67.555,91.538,8.3135,3.1536,0.040868,0.4181
67.537,91.551,8.6118,3.1548,0.052133,0.26589
67.515,91.567,8.9077,3.1526,0.064559,0.06283
67.491,91.586,9.2007,3.2282,0.061151,0.073736
67.464,91.608,9.4908,3.1849,0.057582,0.087247
67.434,91.634,9.7781,3.1654,0.05388,0.10419
67.402,91.662,10.063,3.1641,0.050077,0.12571
67.369,91.694,10.345,3.1693,0.046212,0.1534
67.333,91.728,10.625,3.1915,0.042335,0.18942
67.297,91.764,10.903,3.1651,0.038509,0.23664
67.26,91.802,11.179,3.0955,0.034818,0.29848
67.222,91.843,11.453,3.1014,0.031382,0.378
67.184,91.885,11.726,3.1316,0.028363,0.47503
67.146,91.929,11.997,3.1005,0.025911,-1.5042
67.107,91.974,12.267,3.0509,0.029307,-1.1977
67.067,92.02,12.535,3.1128,0.03711,-0.75732
67.024,92.067,12.803,3.1267,0.047222,-0.47179
66.977,92.114,13.07,3.0362,0.05842,-0.30918
66.926,92.161,13.336,3.1441,0.070084,-0.21407
66.87,92.207,13.601,3.1029,0.081855,-0.15519
66.808,92.253,13.866,3.1218,0.093477,-0.11667
66.739,92.297,14.13,3.0619,0.10473,-0.090224
66.662,92.34,14.395,3.0667,0.11541,-0.071313
66.576,92.381,14.659,3.062,0.099374,-0.59364
66.484,92.418,14.922,3.048,0.089237,-0.72612
66.385,92.452,15.184,3.1184,0.086399,-0.78226
66.283,92.481,15.444,3.031,0.091569,-0.72052
66.178,92.503,15.701,3.0319,0.10422,-0.58973
66.072,92.519,15.955,2.9958,0.12324,-0.45827
65.966,92.526,16.204,3.0646,0.14778,-0.35464
65.863,92.524,16.449,3.0601,0.17756,-0.27965
65.763,92.511,16.689,3.0408,0.2127,-0.22644
65.669,92.487,16.922,2.9548,0.25355,-0.18837
65.582,92.451,17.149,2.959,0.23347,0.27694
65.499,92.404,17.37,2.9301,0.20926,0.38426
65.42,92.346,17.586,2.9733,0.18309,0.53732
65.342,92.28,17.798,2.8936,0.15788,0.74526
65.265,92.205,18.007,2.9013,0.13734,0.98203
65.186,92.123,18.213,2.929,0.1255,1.1375
65.103,92.035,18.417,2.9456,0.12483,1.0807
65.015,91.943,18.621,2.9674,0.13421,0.85558
64.92,91.847,18.825,2.8433,0.14977,0.61242
64.816,91.748,19.029,2.8272,0.16757,0.42485
