x,y,z,r,curvature,torsion
64.125,91.9688,0.281646,0,0,0.00E+00
64.1018,91.9837,0.568357,2.96132,0.00678413,-3.25E-13
64.0785,91.9991,0.854829,2.96357,0.0135961,4.24E-14
64.0547,92.0155,1.14082,2.95405,0.0204634,2.71E-14
64.0304,92.0332,1.4261,2.93884,0.0274126,-1.12E-14
64.0053,92.0529,1.71042,2.91197,0.034469,-5.37E-17
63.9793,92.0749,1.99355,2.89193,0.0416558,4.34E-15
63.9521,92.0998,2.27525,2.8687,0.0489938,-7.35E-15
63.9236,92.1279,2.55528,2.90375,0.0564999,-5.80E-15
63.8935,92.1599,2.83339,2.88676,0.0641863,-4.75E-15
63.8617,92.196,3.10936,2.9071,0.0720592,0.119773
63.828,92.2367,3.38303,2.88038,0.061834,0.167395
63.7926,92.2813,3.65463,2.87891,0.0514646,0.247335
63.7554,92.329,3.92449,2.8829,0.0411403,0.394312
63.7167,92.3791,4.19294,2.86618,0.0312039,0.695432
63.6765,92.4306,4.46028,2.8679,0.0224829,1.35419
63.635,92.4829,4.72685,2.85136,0.0172348,2.3218
63.5923,92.5351,4.99297,2.86031,0.0188081,1.95792
63.5485,92.5864,5.25896,2.86546,0.0260283,1.02331
63.5037,92.636,5.52513,2.84584,0.0355868,5.46E-01
63.458,92.6831,5.79183,2.88181,0.0459841,-7.55E-02
63.4116,92.7272,6.05927,2.82196,0.0363932,-1.20E-01
63.3645,92.7687,6.32734,2.83805,0.0269163,-2.17E-01
63.3169,92.8083,6.59583,2.86817,0.0176136,-5.06E-01
63.2688,92.8466,6.86452,2.84345,0.00886104,-2.00E+00
63.2202,92.8844,7.13321,2.90237,0.00526629,-5.66E+00
63.1714,92.9223,7.40169,2.89542,0.012577,-9.97E-01
63.1224,92.9611,7.66975,2.89852,0.021728,-3.36E-01
63.0732,93.0014,7.93717,2.86513,0.0312026,-1.65E-01
63.0239,93.0439,8.20374,2.8672,0.0408447,-0.0972195
62.9748,93.0892,8.46926,2.9009,0.0506239,0.370911
62.9256,93.1379,8.73355,2.9339,0.0444007,0.48895
62.8763,93.1897,8.99656,2.87989,0.0390426,0.641464
62.8263,93.2439,9.25825,2.89372,0.0350107,0.80972
62.7753,93.3002,9.51861,2.91257,0.0328639,0.933602
62.7229,93.3578,9.77761,2.90515,0.0330447,0.939048
62.6687,93.4164,10.0352,2.87922,0.0355934,0.823907
62.6125,93.4754,10.2914,2.92758,0.0401362,0.660186
62.5537,93.5341,10.5462,3.0111,0.0461588,0.508935
62.492,93.5922,10.7996,3.01278,0.0532248,0.390437
62.4271,93.6491,11.0515,2.87713,0.0610258,0.302934
62.3586,93.7044,11.3019,2.97401,0.0535527,0.0147371
62.287,93.7581,11.5511,2.99454,0.0459509,0.0202445
62.2125,93.8105,11.7993,2.97871,0.0382916,0.0293384
62.1358,93.8618,12.0469,3.00305,0.0306664,0.0458213
62.057,93.9123,12.2941,2.86761,0.0232253,0.079681
61.9769,93.9621,12.5411,2.88372,0.0163106,0.160499
61.8956,94.0115,12.7883,2.98394,0.0109918,0.349741
61.8137,94.0608,13.0359,2.97692,0.0101115,0.407494
61.7317,94.11,13.2842,2.90566,0.0143846,0.197808
61.6498,94.1595,13.5334,2.87217,0.0207301,9.32E-02
61.5685,94.2094,13.7838,2.85135,0.0143945,-2.11E+00
61.487,94.2588,14.0351,2.84567,0.0236935,-7.64E-01
61.4045,94.307,14.2871,2.85419,0.0384045,-2.87E-01
61.3202,94.3531,14.5395,2.82434,0.0542003,-1.42E-01
61.2333,94.3962,14.792,2.84236,0.070307,-8.39E-02
61.143,94.4354,15.0443,2.78121,0.0865019,-5.50E-02
61.0485,94.4699,15.2962,2.77004,0.102657,-3.87E-02
60.9489,94.4989,15.5474,2.76242,0.118638,-2.86E-02
60.8434,94.5214,15.7975,2.78958,0.134271,-0.0219334
60.7312,94.5366,16.0464,2.76871,0.14933,-0.0172768
60.6119,94.5439,16.2937,2.78429,0.127508,0.265975
60.4866,94.5438,16.5398,2.77706,0.106973,0.367147
60.3568,94.5368,16.7848,2.76874,0.0882394,0.527016
60.224,94.5238,17.029,2.75196,0.0721692,0.775348
60.0898,94.5054,17.2727,2.77448,0.0603578,1.10097
59.9557,94.4823,17.5161,2.81438,0.0552302,1.31935
59.8231,94.4552,17.7595,2.78315,0.0585292,1.19143
59.6936,94.4248,18.0032,2.81466,0.0693082,0.870835
59.5687,94.3918,18.2473,2.79501,0.0851998,0.596515
59.45,94.3569,18.4923,2.79123,0.104419,0.414652
59.3385,94.3207,18.7382,2.77354,0.099677,-0.160383
59.2342,94.283,18.985,2.71214,0.0947699,-0.184054
59.1366,94.2437,19.2327,2.7005,0.0897937,-0.211387
59.0451,94.2024,19.481,2.67589,0.084853,-0.242712
58.9592,94.159,19.7299,2.62564,0.0800613,-0.278118
58.8785,94.1133,19.9793,2.60335,0.0755414,-0.317208
58.8025,94.0649,20.229,2.64373,0.0714259,-0.358773
58.7306,94.0138,20.479,2.50329,0.067854,-0.400435
58.6623,93.9596,20.7291,2.47629,0.0649653,-0.438465
58.5972,93.902,20.9791,2.4943,0.0628882,-0.468104
58.5351,93.841,21.2291,2.73569,0.0825515,0.375638
58.4771,93.776,21.4784,2.68468,0.104623,0.238781
58.4249,93.7066,21.7265,2.72706,0.128422,0.16376
58.3799,93.6325,21.9729,2.7505,0.153706,0.119197
58.3436,93.5533,22.217,2.67074,0.180307,0.0908
58.3177,93.4684,22.4584,2.64799,0.207959,0.0715934
58.3035,93.3775,22.6965,2.66754,0.236182,0.0579139
58.3026,93.2802,22.9308,2.67363,0.264203,0.0477084
