,x,y,z,r,curvature,torsion
0,63.711,88.031,1.1289,0,0.053743,-0.02282
1,63.701,88.065,1.4164,3.2812,0.053386,-0.023627
2,63.691,88.098,1.7035,3.2632,0.052999,-0.024897
3,63.68,88.132,1.9899,3.3146,0.052574,-0.026658
4,63.669,88.167,2.2752,3.2915,0.052106,-0.028947
5,63.658,88.202,2.5591,3.217,0.051588,-0.031812
6,63.645,88.237,2.8413,3.2048,0.051015,-0.035303
7,63.631,88.274,3.1213,3.212,0.050155,-0.041029
8,63.616,88.312,3.3989,3.201,0.049431,-0.04621
9,63.599,88.351,3.6736,3.2212,0.048636,-0.052254
10,63.581,88.391,3.9452,3.2655,0.047765,-0.059273
11,63.561,88.433,4.2134,3.2919,0.046815,-0.067359
12,63.538,88.476,4.4784,3.267,0.045787,-0.07667
13,63.513,88.521,4.7407,3.3045,0.044293,-0.091355
14,63.485,88.568,5.0008,3.2962,0.043083,-0.10432
15,63.454,88.617,5.259,3.2858,0.041803,-0.11927
16,63.419,88.668,5.5157,3.2861,0.04046,-0.13657
17,63.38,88.721,5.7715,3.2776,0.039066,-0.15653
18,63.337,88.776,6.0266,3.2675,0.037636,-0.17948
19,63.289,88.833,6.2815,3.2338,0.035711,-0.21546
20,63.235,88.893,6.5366,3.2285,0.034291,-0.24658
21,63.176,88.955,6.7923,3.2751,0.032932,-0.28086
22,63.113,89.02,7.0485,3.1663,0.03168,-0.31765
23,63.046,89.086,7.305,3.2465,0.030591,-0.35542
24,62.975,89.154,7.5616,3.2483,0.029725,-0.3913
25,62.902,89.223,7.8182,3.2734,0.029027,-0.43023
26,62.827,89.293,8.0746,3.2565,0.028925,-0.44769
27,62.752,89.364,8.3307,3.2564,0.029237,-0.45137
28,62.676,89.436,8.5863,3.3059,0.029989,-0.4409
29,62.601,89.507,8.8412,3.2283,0.031184,-0.4184
30,62.528,89.579,9.0953,3.2645,0.032804,-0.3874
31,62.457,89.65,9.3485,3.2513,0.035562,-0.34009
32,62.387,89.72,9.6011,3.1959,0.038023,-0.30455
33,62.319,89.789,9.8535,3.2305,0.040768,-0.27136
34,62.253,89.857,10.106,3.1887,0.043754,-0.24162
35,62.187,89.923,10.359,3.1,0.04694,-0.21571
36,62.121,89.988,10.614,3.1516,0.05029,-0.19354
37,62.056,90.05,10.87,3.1361,0.05496,-0.16924
38,61.99,90.109,11.127,3.0639,0.05858,-0.15449
39,61.923,90.166,11.387,3.0632,0.062273,-0.14223
40,61.855,90.219,11.65,3.0701,0.066018,-0.13209
41,61.786,90.269,11.915,3.0435,0.069795,-0.12379
42,61.715,90.314,12.183,3.0827,0.073585,-0.11704
43,61.644,90.354,12.453,3.0112,0.078631,-0.10988
44,61.573,90.387,12.722,3.0679,0.082393,-0.10571
45,61.502,90.412,12.991,3.0623,0.08612,-0.10239
46,61.431,90.428,13.259,3.0412,0.089803,-0.099681
47,61.361,90.434,13.525,3.0306,0.093437,-0.097508
48,61.293,90.429,13.788,2.9998,0.097014,-0.095807
49,61.227,90.412,14.047,3.0099,0.10169,-0.094031
50,61.162,90.382,14.302,3.075,0.10513,-0.092988
51,61.101,90.337,14.551,3.0574,0.10851,-0.09215
52,61.042,90.28,14.795,3.0845,0.11183,-0.091379
53,60.985,90.211,15.034,3.1324,0.11509,-0.090618
54,60.93,90.132,15.269,3.1147,0.1183,-0.089851
55,60.877,90.045,15.5,3.0717,0.1225,-0.088719
56,60.826,89.951,15.727,3.0983,0.12559,-0.087716
57,60.776,89.851,15.952,3.1161,0.12865,-0.08656
58,60.727,89.746,16.174,3.0915,0.13167,-0.085204
59,60.68,89.639,16.394,3.0785,0.13465,-0.08362
60,60.633,89.531,16.612,3.076,0.13757,-0.08182
61,60.588,89.423,16.828,3.0915,0.14135,-0.079129
62,60.544,89.313,17.044,3.0811,0.1441,-0.076924
63,60.504,89.203,17.258,3.079,0.14677,-0.074542
64,60.468,89.089,17.471,3.0642,0.14935,-0.071974
65,60.438,88.972,17.683,3.0906,0.15182,-0.069232
66,60.415,88.851,17.893,3.0863,0.15415,-0.06633
67,60.4,88.724,18.103,3.0657,0.157,-0.062267
68,60.395,88.59,18.311,2.9884,0.1589,-0.059185
69,60.4,88.45,18.518,2.9917,0.16057,-0.056078
70,60.418,88.301,18.724,3.0759,0.16201,-0.052936
71,60.448,88.143,18.928,3.1295,0.16319,-0.049758
72,60.491,87.978,19.131,3.1071,0.16407,-0.046545
73,60.548,87.805,19.329,3.0868,0.16473,-0.042218
74,60.617,87.626,19.524,3.2072,0.16482,-0.039091
75,60.699,87.442,19.712,3.135,0.16455,-0.036112
76,60.794,87.254,19.893,3.1994,0.16391,-0.033262
77,60.901,87.063,20.066,3.1126,0.1629,-0.030598
78,61.02,86.87,20.23,3.0723,0.16151,-0.028177
79,61.152,86.676,20.384,3.0652,0.15977,-0.025981
80,61.295,86.482,20.525,3.1798,0.1569,-0.023433
81,61.451,86.29,20.655,3.2475,0.15436,-0.021864
82,61.616,86.098,20.772,3.2504,0.1515,-0.020585
83,61.791,85.906,20.878,3.2314,0.14835,-0.019606
84,61.974,85.715,20.975,3.2804,0.14493,-0.018959
85,62.162,85.524,21.062,3.3229,0.14126,-0.018657
86,62.355,85.333,21.141,3.2048,0.13602,-0.018814
87,62.552,85.141,21.213,3.1736,0.13186,-0.019377
88,62.75,84.949,21.279,3.2425,0.12754,-0.020354
89,62.949,84.755,21.339,3.2285,0.12307,-0.021781
90,63.147,84.561,21.396,3.2877,0.11848,-0.02367
91,63.343,84.365,21.448,3.2949,0.11379,-0.026071
92,63.538,84.168,21.497,3.2712,0.10741,-0.030202
93,63.732,83.971,21.541,3.2462,0.10256,-0.034069
94,63.925,83.775,21.58,3.2635,0.097666,-0.038711
95,64.12,83.58,21.614,3.2575,0.092741,-0.044289
96,64.317,83.387,21.642,3.2743,0.087802,-0.050968
97,64.516,83.197,21.662,3.237,0.082859,-0.05896
98,64.719,83.01,21.676,3.2776,0.076284,-0.072256
99,64.927,82.827,21.681,3.2588,0.071381,-0.084753
100,65.139,82.649,21.679,3.2352,0.066519,-0.10003
101,65.357,82.476,21.667,3.1918,0.061714,-0.1189
102,65.581,82.308,21.648,3.2213,0.056988,-0.14243
103,65.809,82.144,21.622,3.1866,0.052368,-0.17189
104,66.041,81.983,21.591,3.1472,0.04644,-0.22345
105,66.276,81.826,21.556,3.1439,0.042235,-0.27408
106,66.513,81.671,21.517,3.1731,0.038321,-0.33702
107,66.752,81.517,21.477,3.1756,0.034799,-0.41291
108,66.992,81.365,21.436,3.1827,0.031803,-0.49856
109,67.231,81.213,21.396,3.1452,0.029499,-0.58344
